model_name,model_year,trim_variant,body_type,length_mm,width_mm,height_mm,wheelbase_mm,curb_weight_kg,exterior_colors_available,interior_materials_colors,engine_type,displacement_cc,cylinders,horsepower_hp,torque_nm,transmission,drivetrain,acceleration_0_100_s,top_speed_kmh,fuel_consumption_combined,co2_emissions,electric_range_km,infotainment,safety_features,wheel_sizes_available,base_msrp_usd
3 Series,2007,335i,Sedan,4520,1817,1421,2760,1570,"Carbon Black, Sunset Orange, Midnight Black","Sensatec, Extended Merino",Petrol,2979,Inline-6 Turbo,306,400,Manual/Automatic,RWD,5.5,250,9.9,237,,iDrive 2.0,"ABS, DSC, Multiple Airbags","22 inch, 21 inch",42000
X5,2007,3.0si,SUV,4854,1933,1776,2933,2145,"Barcelona Blue, Space Grey, Jet Black","Nappa Leather, Individual Leather",Petrol,2979,Inline-6,272,315,Automatic,AWD,7.9,230,11.9,284,,iDrive 2.0,"ABS, DSC, xDrive","19 inch, 18 inch",52000
M3,2008,E92,Coupe,4615,1804,1426,2761,1605,"Arctic Race Blue, Melbourne Red, Space Grey","Dakota Leather, Alcantara",Petrol,3999,V8,420,400,Manual/DCT,RWD,4.8,250,12.8,305,,iDrive 2.0,"ABS, DSC, M Sport Brakes","21 inch, 18 inch",58000
7 Series,2009,740i,Sedan,5072,1902,1479,3070,1885,"Jet Black, Arctic Race Blue, Phytonic Blue","Leather, Vernasca Leather",Petrol,2979,Inline-6 Twin-Turbo,326,450,Automatic,RWD,6.3,250,9.8,228,,iDrive 2.0,"ABS, DSC, Night Vision","17 inch, 19 inch",82000
X6,2009,xDrive35i,Coupe SUV,4877,1983,1690,2933,2155,"Mineral Grey, Mineral White, Carbon Black","Dakota Leather, Leather",Petrol,2979,Inline-6 Turbo,306,400,Automatic,AWD,6.7,240,10.7,251,,iDrive 2.0,"ABS, DSC, xDrive","17 inch, 21 inch",62000
Z4,2009,sDrive35i,Roadster,4239,1790,1291,2496,1505,"Melbourne Red, Storm Bay, Sophisto Grey","Individual Leather, Leather",Petrol,2979,Inline-6 Twin-Turbo,306,400,Manual/Automatic,RWD,5.1,250,8.5,199,,iDrive 2.0,"ABS, DSC, Multiple Airbags","17 inch, 22 inch",48000
7 Series,2010,750i,Sedan,5072,1902,1479,3070,1945,"Mineral White, Phytonic Blue, Sophisto Grey","Vernasca Leather, Merino Leather",Petrol,4395,V8 Twin-Turbo,407,600,Automatic,RWD,5.2,250,11.4,266,,iDrive 3.0,"ABS, DSC, Active Protection","19 inch, 22 inch",92000
X1,2010,sDrive18i,SUV,4454,1798,1545,2760,1520,"Space Grey, Alpine White, Melbourne Red","Alcantara, Extended Merino",Petrol,1995,Inline-4,150,200,Manual/Automatic,RWD,9.1,200,6.9,164,,iDrive 2.0,"ABS, DSC","22 inch, 18 inch",32000
X5,2010,M,SUV,4854,1985,1776,2933,2290,"Mineral White, Space Grey, Sunset Orange","Alcantara, Dakota Leather",Petrol,4395,V8 Twin-Turbo,555,680,Automatic,AWD,4.7,250,13.8,325,,iDrive 3.0,"ABS, DSC, M Sport Brakes","17 inch, 20 inch",85000
1 Series,2011,1M Coupe,Coupe,4380,1803,1421,2660,1495,"Arctic Race Blue, Phytonic Blue, Midnight Black","Individual Leather, Alcantara",Petrol,2979,Inline-6 Twin-Turbo,340,450,Manual,RWD,4.9,250,10.5,246,,iDrive 3.0,"ABS, DSC, M Sport Brakes","21 inch, 17 inch",50000
5 Series,2011,520d,Sedan,4907,1860,1464,2968,1595,"Sophisto Grey, Phytonic Blue, Arctic Race Blue","Leather, Dakota Leather",Diesel,1995,Inline-4 Turbo,184,380,Manual/Automatic,RWD,8.0,225,4.9,129,,iDrive 3.0,"ABS, DSC, Multiple Airbags","20 inch, 18 inch",52000
X3,2011,xDrive20d,SUV,4648,1881,1661,2810,1770,"Sophisto Grey, Glacier Silver, Sunset Orange","Alcantara, Sensatec",Diesel,1995,Inline-4 Turbo,184,380,Manual/Automatic,AWD,8.6,205,6.0,158,,iDrive 3.0,"ABS, DSC, Multiple Airbags","20 inch, 22 inch",42000
1 Series,2012,116i,Hatchback,4324,1765,1421,2690,1320,"Jet Black, Melbourne Red, Midnight Black","Nappa Leather, Sensatec",Petrol,1598,Inline-4 Turbo,136,220,Manual/Automatic,RWD,9.4,200,5.8,135,,iDrive 3.0,"ABS, DSC, Multiple Airbags","19 inch, 17 inch",31000
5 Series,2012,M5,Sedan,4910,1891,1464,2968,1945,"Mineral White, Midnight Black, Arctic Race Blue","Individual Leather, Leather",Petrol,4395,V8 Twin-Turbo,560,680,DCT,RWD,4.4,250,10.8,252,,iDrive 4.0,"ABS, DSC, M Performance Brakes","18 inch, 20 inch",95000
6 Series,2012,640i Coupe,Coupe,4894,1894,1365,2855,1790,"Phytonic Blue, Sophisto Grey, Alpine White","Individual Leather, Sensatec",Petrol,2979,Inline-6 Turbo,320,450,Automatic,RWD,5.4,250,8.2,190,,iDrive 4.0,"ABS, DSC, Multiple Airbags","20 inch, 21 inch",75000
3 Series,2013,320i,Sedan,4624,1811,1429,2810,1465,"Midnight Black, Mineral Grey, Space Grey","Nappa Leather, Vernasca Leather",Petrol,1997,Inline-4 Turbo,184,270,Manual/Automatic,RWD,7.6,230,6.4,149,,iDrive 3.0,"ABS, DSC, Multiple Airbags","21 inch, 18 inch",36000
6 Series,2013,M6 Gran Coupe,Sedan,5007,1894,1392,2968,1950,"Space Grey, Carbon Black, Sunset Orange","Leather, Merino Leather",Petrol,4395,V8 Twin-Turbo,560,680,DCT,RWD,4.2,250,10.8,252,,iDrive 4.0,"ABS, DSC, M Performance Brakes","17 inch, 22 inch",115000
i3,2013,Base,Hatchback,3999,1775,1578,2570,1195,"Sophisto Grey, Arctic Race Blue, Storm Bay","Individual Leather, Extended Merino",Electric,0,Electric Motor,170,250,Single-Speed,RWD,7.2,150,0.0,0,190.0,iDrive 4.0,"ABS, DSC, Multiple Airbags","21 inch, 19 inch",42000
2 Series,2014,220i Coupe,Coupe,4432,1774,1418,2690,1420,"Carbon Black, Mineral Grey, Glacier Silver","Alcantara, Nappa Leather",Petrol,1997,Inline-4 Turbo,184,270,Manual/Automatic,RWD,7.1,235,6.4,149,,iDrive 4.0,"ABS, DSC, Multiple Airbags","22 inch, 20 inch",35000
4 Series,2014,420i Coupe,Coupe,4638,1825,1362,2810,1505,"Jet Black, Mineral White, Sophisto Grey","Dakota Leather, Nappa Leather",Petrol,1997,Inline-4 Turbo,184,270,Manual/Automatic,RWD,7.3,236,6.4,149,,iDrive 4.0,"ABS, DSC, Multiple Airbags","22 inch, 19 inch",42000
4 Series,2014,M4,Coupe,4671,1870,1383,2812,1497,"Carbon Black, Alpine White, Phytonic Blue","Nappa Leather, Merino Leather",Petrol,2979,Inline-6 Twin-Turbo,431,550,Manual/Automatic,RWD,4.1,250,8.8,204,,iDrive 4.0,"ABS, DSC, M Sport Brakes","20 inch, 19 inch",42000
X5,2014,xDrive35i,SUV,4886,1938,1762,2933,2045,"Glacier Silver, Barcelona Blue, Sophisto Grey","Extended Merino, Individual Leather",Petrol,2979,Inline-6 Turbo,306,400,Automatic,AWD,6.4,245,9.0,213,,iDrive 4.0,"ABS, DSC, Multiple Airbags","19 inch, 22 inch",58000
i8,2014,Coupe,Coupe,4689,1942,1298,2800,1485,"Jet Black, Mineral Grey, Sunset Orange","Dakota Leather, Sensatec",Plug-in Hybrid,1499,3-Cyl Turbo + Electric,362,570,Automatic,AWD,4.4,250,2.1,49,37.0,iDrive 4.0,Full Suite Safety Package,"19 inch, 18 inch",136000
1 Series,2015,M135i,Hatchback,4324,1765,1421,2690,1440,"Alpine White, Glacier Silver, Storm Bay","Vernasca Leather, Alcantara",Petrol,2979,Inline-6 Turbo,320,450,Manual/Automatic,RWD,4.9,250,7.8,181,,iDrive 4.0,"ABS, DSC, M Performance Brakes","17 inch, 22 inch",50000
2 Series Active Tourer,2015,218i,MPV,4342,1800,1556,2670,1440,"Alpine White, Glacier Silver, Sunset Orange","Extended Merino, Merino Leather",Petrol,1499,Inline-3 Turbo,136,220,Manual/Automatic,FWD,9.2,205,5.1,119,,iDrive 4.0,"ABS, DSC, Multiple Airbags","22 inch, 20 inch",32000
3 Series,2015,M3,Sedan,4671,1877,1424,2812,1605,"Arctic Race Blue, Mineral Grey, Barcelona Blue","Extended Merino, Individual Leather",Petrol,2979,Inline-6 Twin-Turbo,431,550,Manual/Automatic,RWD,4.1,250,8.8,204,,iDrive 4.0,"ABS, DSC, M Sport Brakes","18 inch, 22 inch",65000
4 Series Gran Coupe,2015,428i,Sedan,4638,1825,1389,2810,1525,"Arctic Race Blue, Sunset Orange, Sophisto Grey","Alcantara, Merino Leather",Petrol,1997,Inline-4 Turbo,245,350,Automatic,RWD,6.2,250,6.8,158,,iDrive 4.0,"ABS, DSC, Multiple Airbags","20 inch, 19 inch",44000
X4,2015,xDrive20d,Coupe SUV,4671,1881,1624,2810,1750,"Sophisto Grey, Arctic Race Blue, Glacier Silver","Extended Merino, Merino Leather",Diesel,1995,Inline-4 Turbo,190,400,Automatic,AWD,8.0,213,5.4,142,,iDrive 4.0,"ABS, DSC, Multiple Airbags","19 inch, 20 inch",48000
X6,2015,M,Coupe SUV,4909,1989,1702,2933,2245,"Phytonic Blue, Glacier Silver, Mineral White","Nappa Leather, Dakota Leather",Petrol,4395,V8 Twin-Turbo,575,750,Automatic,AWD,4.2,250,12.3,288,,iDrive 4.0,Full Suite Safety Package,"21 inch, 17 inch",95000
2 Series,2016,M2,Coupe,4461,1854,1410,2693,1495,"Sophisto Grey, Storm Bay, Mineral White","Alcantara, Nappa Leather",Petrol,2979,Inline-6 Turbo,370,465,Manual/Automatic,RWD,4.3,250,8.5,199,,iDrive 5.0,"ABS, DSC, M Sport Brakes","21 inch, 19 inch",52000
2 Series Gran Tourer,2016,220i,MPV,4556,1800,1641,2780,1515,"Midnight Black, Glacier Silver, Space Grey","Individual Leather, Dakota Leather",Petrol,1998,Inline-4 Turbo,192,280,Manual/Automatic,FWD,7.4,228,5.8,135,,iDrive 5.0,"ABS, DSC, Multiple Airbags","20 inch, 18 inch",34000
7 Series,2016,730d,Sedan,5120,1902,1479,3070,1885,"Melbourne Red, Space Grey, Sophisto Grey","Dakota Leather, Leather",Diesel,2993,Inline-6 Turbo,265,620,Automatic,RWD,6.1,250,5.4,142,,iDrive 5.0,"ABS, DSC, Gesture Control","22 inch, 19 inch",85000
X1,2016,xDrive20i,SUV,4439,1821,1598,2670,1555,"Mineral Grey, Arctic Race Blue, Sophisto Grey","Dakota Leather, Leather",Petrol,1998,Inline-4 Turbo,192,280,Automatic,AWD,7.4,215,6.4,148,,iDrive 5.0,"ABS, DSC, Multiple Airbags","22 inch, 20 inch",34000
5 Series,2017,530i,Sedan,4936,1868,1479,2975,1625,"Melbourne Red, Storm Bay, Glacier Silver","Dakota Leather, Vernasca Leather",Petrol,1998,Inline-4 Turbo,252,350,Automatic,RWD,6.2,250,6.5,149,,iDrive 6.0,"ABS, DSC, Lane Assist","21 inch, 17 inch",54000
7 Series,2017,M760Li,Sedan,5238,1902,1479,3210,2105,"Arctic Race Blue, Storm Bay, Jet Black","Sensatec, Nappa Leather",Petrol,6592,V12 Twin-Turbo,585,850,Automatic,AWD,3.7,250,12.8,294,,iDrive 6.0,Full Suite Safety Package,"17 inch, 18 inch",155000
5 Series,2018,M5,Sedan,4936,1903,1473,2982,1855,"Arctic Race Blue, Sunset Orange, Jet Black","Vernasca Leather, Alcantara",Petrol,4395,V8 Twin-Turbo,600,750,Automatic,AWD,3.4,250,10.5,241,,iDrive 6.0,Full Suite Safety Package,"18 inch, 22 inch",105000
6 Series GT,2018,630i,Liftback,5091,1902,1538,3070,1855,"Sunset Orange, Mineral Grey, Phytonic Blue","Merino Leather, Nappa Leather",Petrol,1998,Inline-4 Turbo,258,400,Automatic,RWD,6.3,250,6.8,154,,iDrive 6.0,Full Suite Safety Package,"18 inch, 20 inch",70000
X2,2018,sDrive20i,Coupe SUV,4360,1824,1526,2670,1520,"Sophisto Grey, Midnight Black, Arctic Race Blue","Nappa Leather, Extended Merino",Petrol,1998,Inline-4 Turbo,192,280,Automatic,FWD,7.7,228,6.0,138,,iDrive 6.0,Full Suite Safety Package,"17 inch, 22 inch",36000
X3,2018,M40i,SUV,4708,1891,1676,2864,1875,"Jet Black, Mineral White, Glacier Silver","Vernasca Leather, Leather",Petrol,2998,Inline-6 Turbo,360,465,Automatic,AWD,4.8,250,8.3,189,,iDrive 6.0,Full Suite Safety Package,"22 inch, 20 inch",58000
i3,2018,94Ah,Hatchback,3999,1775,1578,2570,1245,"Phytonic Blue, Glacier Silver, Storm Bay","Vernasca Leather, Alcantara",Electric,0,Electric Motor,170,250,Single-Speed,RWD,7.3,150,0.0,0,300.0,iDrive 6.0,Full Suite Safety Package,"18 inch, 17 inch",45000
i8,2018,Roadster,Roadster,4689,1942,1293,2800,1595,"Phytonic Blue, Melbourne Red, Sophisto Grey","Dakota Leather, Merino Leather",Plug-in Hybrid,1499,3-Cyl Turbo + Electric,374,570,Automatic,AWD,4.6,250,2.0,46,53.0,iDrive 6.0,Full Suite Safety Package,"22 inch, 19 inch",148000
3 Series,2019,330i,Sedan,4709,1827,1442,2851,1570,"Jet Black, Glacier Silver, Midnight Black","Nappa Leather, Sensatec",Petrol,1998,Inline-4 Turbo,255,400,Automatic,RWD,5.8,250,6.5,147,,iDrive 7.0,"ABS, DSC, Lane Assist","18 inch, 19 inch",41000
8 Series,2019,840i Coupe,Coupe,4843,1902,1341,2822,1795,"Carbon Black, Arctic Race Blue, Glacier Silver","Nappa Leather, Sensatec",Petrol,2998,Inline-6 Turbo,340,500,Automatic,AWD,5.2,250,8.0,182,,iDrive 7.0,Full Suite Safety Package,"17 inch, 20 inch",86000
X2,2019,M35i,Coupe SUV,4379,1824,1526,2670,1625,"Storm Bay, Carbon Black, Glacier Silver","Alcantara, Vernasca Leather",Petrol,1998,Inline-4 Turbo,306,450,Automatic,AWD,4.9,250,7.7,175,,iDrive 6.0,Full Suite Safety Package,"17 inch, 18 inch",52000
X4,2019,M Competition,Coupe SUV,4752,1918,1621,2864,1875,"Phytonic Blue, Barcelona Blue, Space Grey","Extended Merino, Vernasca Leather",Petrol,2993,Inline-6 Twin-Turbo,510,600,Automatic,AWD,4.0,250,10.3,234,,iDrive 7.0,Full Suite Safety Package,"20 inch, 17 inch",75000
X5,2019,xDrive40i,SUV,4922,2004,1745,2975,2135,"Storm Bay, Barcelona Blue, Melbourne Red","Alcantara, Dakota Leather",Petrol,2998,Inline-6 Turbo,340,450,Automatic,AWD,5.5,243,8.8,200,,iDrive 7.0,Full Suite Safety Package,"19 inch, 21 inch",62000
X7,2019,xDrive40i,SUV,5151,2000,1805,3105,2385,"Alpine White, Midnight Black, Phytonic Blue","Dakota Leather, Sensatec",Petrol,2998,Inline-6 Turbo,340,450,Automatic,AWD,6.1,245,9.8,223,,iDrive 7.0,Full Suite Safety Package,"17 inch, 20 inch",75000
Z4,2019,sDrive30i,Roadster,4324,1864,1304,2470,1570,"Sophisto Grey, Arctic Race Blue, Space Grey","Alcantara, Dakota Leather",Petrol,1998,Inline-4 Turbo,255,400,Automatic,RWD,5.4,250,6.6,149,,iDrive 7.0,Full Suite Safety Package,"21 inch, 20 inch",50000
1 Series,2020,118i,Hatchback,4319,1799,1434,2670,1380,"Jet Black, Mineral Grey, Space Grey","Leather, Extended Merino",Petrol,1499,Inline-3 Turbo,140,220,Manual/Automatic,FWD,8.5,212,5.2,118,,iDrive 7.0,"ABS, DSC, Lane Assist","20 inch, 19 inch",33000
1 Series,2020,M135i xDrive,Hatchback,4319,1799,1434,2670,1520,"Carbon Black, Alpine White, Glacier Silver","Vernasca Leather, Extended Merino",Petrol,1998,Inline-4 Turbo,306,450,Automatic,AWD,4.8,250,7.1,162,,iDrive 7.0,Full Suite Safety Package,"19 inch, 22 inch",33000
2 Series Gran Coupe,2020,218i,Sedan,4526,1800,1420,2670,1455,"Sunset Orange, Mineral White, Alpine White","Sensatec, Nappa Leather",Petrol,1499,Inline-3 Turbo,140,220,Manual/Automatic,FWD,8.7,210,5.6,128,,iDrive 7.0,Full Suite Safety Package,"19 inch, 18 inch",35000
8 Series,2020,M8 Competition,Coupe,4867,1902,1346,2822,1885,"Sophisto Grey, Arctic Race Blue, Glacier Silver","Alcantara, Nappa Leather",Petrol,4395,V8 Twin-Turbo,625,750,Automatic,AWD,3.2,250,11.1,254,,iDrive 7.0,Full Suite Safety Package,"19 inch, 17 inch",135000
8 Series Gran Coupe,2020,840i,Sedan,5082,1902,1407,3023,1915,"Storm Bay, Mineral White, Alpine White","Individual Leather, Leather",Petrol,2998,Inline-6 Turbo,340,500,Automatic,AWD,5.2,250,8.2,186,,iDrive 7.0,Full Suite Safety Package,"19 inch, 20 inch",88000
X6,2020,M50i,Coupe SUV,4935,2004,1696,2975,2200,"Glacier Silver, Phytonic Blue, Jet Black","Leather, Sensatec",Petrol,4395,V8 Twin-Turbo,530,750,Automatic,AWD,4.3,250,10.6,241,,iDrive 7.0,Full Suite Safety Package,"18 inch, 19 inch",68000
X7,2020,M50i,SUV,5151,2000,1805,3105,2560,"Carbon Black, Phytonic Blue, Sunset Orange","Individual Leather, Nappa Leather",Petrol,4395,V8 Twin-Turbo,530,750,Automatic,AWD,4.7,250,11.7,266,,iDrive 7.0,Full Suite Safety Package,"18 inch, 20 inch",102000
Z4,2020,M40i,Roadster,4324,1864,1304,2470,1570,"Storm Bay, Sunset Orange, Sophisto Grey","Merino Leather, Leather",Petrol,2998,Inline-6 Turbo,340,500,Automatic,RWD,4.4,250,7.7,174,,iDrive 7.0,Full Suite Safety Package,"17 inch, 20 inch",65000
3 Series,2021,M340i,Sedan,4709,1827,1442,2851,1665,"Mineral Grey, Sophisto Grey, Barcelona Blue","Extended Merino, Alcantara",Petrol,2998,Inline-6 Turbo,374,500,Automatic,AWD,4.4,250,7.5,171,,iDrive 7.0,"ABS, DSC, Parking Assist","17 inch, 19 inch",56000
4 Series,2021,430i Coupe,Coupe,4768,1852,1383,2851,1625,"Space Grey, Phytonic Blue, Mineral Grey","Sensatec, Alcantara",Petrol,1998,Inline-4 Turbo,245,400,Automatic,RWD,5.8,250,6.8,155,,iDrive 7.0,Full Suite Safety Package,"22 inch, 21 inch",46000
4 Series,2021,M4 Competition,Coupe,4794,1887,1393,2857,1725,"Phytonic Blue, Midnight Black, Mineral White","Dakota Leather, Sensatec",Petrol,2993,Inline-6 Twin-Turbo,510,650,Automatic,RWD,3.9,250,10.1,229,,iDrive 7.0,Full Suite Safety Package,"21 inch, 17 inch",46000
2 Series,2022,230i Coupe,Coupe,4537,1838,1390,2741,1570,"Mineral Grey, Mineral White, Sunset Orange","Individual Leather, Dakota Leather",Petrol,1998,Inline-4 Turbo,245,400,Automatic,RWD,5.8,250,6.8,155,,iDrive 8.0,Full Suite Safety Package,"21 inch, 17 inch",38000
4 Series Gran Coupe,2022,430i,Sedan,4783,1852,1442,2856,1665,"Mineral Grey, Mineral White, Melbourne Red","Extended Merino, Sensatec",Petrol,1998,Inline-4 Turbo,245,400,Automatic,RWD,5.9,250,6.9,157,,iDrive 8.0,Full Suite Safety Package,"17 inch, 21 inch",48000
i4,2022,M50,Sedan,4783,1852,1448,2856,2215,"Alpine White, Sunset Orange, Space Grey","Extended Merino, Leather",Electric,0,Dual Electric Motors,536,795,Single-Speed,AWD,3.7,225,0.0,0,510.0,iDrive 8.0,Full Suite Safety Package,"19 inch, 21 inch",56000
i4,2022,eDrive40,Sedan,4783,1852,1448,2856,2050,"Barcelona Blue, Alpine White, Carbon Black","Sensatec, Leather",Electric,0,Electric Motor,340,430,Single-Speed,RWD,5.7,190,0.0,0,590.0,iDrive 8.0,Full Suite Safety Package,"18 inch, 19 inch",56000
iX,2022,M60,SUV,4953,1967,1695,3000,2655,"Storm Bay, Mineral White, Arctic Race Blue","Vernasca Leather, Sensatec",Electric,0,Dual Electric Motors,523,1015,Single-Speed,AWD,3.8,250,0.0,0,560.0,iDrive 8.0,Full Suite Safety Package,"18 inch, 17 inch",85000
iX,2022,xDrive40,SUV,4953,1967,1695,3000,2585,"Mineral White, Phytonic Blue, Melbourne Red","Extended Merino, Dakota Leather",Electric,0,Dual Electric Motors,326,630,Single-Speed,AWD,6.1,200,0.0,0,425.0,iDrive 8.0,Full Suite Safety Package,"17 inch, 20 inch",85000
2 Series,2023,M2,Coupe,4580,1887,1406,2741,1675,"Jet Black, Barcelona Blue, Alpine White","Individual Leather, Leather",Petrol,2993,Inline-6 Twin-Turbo,460,550,Manual/Automatic,RWD,4.1,250,9.4,214,,iDrive 8.0,Full Suite Safety Package,"21 inch, 17 inch",58000
